"nome_cripto","symbol_cripto","preco_cripto","var24h_cripto","var7d_cripto","capitalizacao_cripto","volume24h_cripto","volumetotal_cripto"
"Bitcoin","BTC",25896.9,-0.03,0.2,5.0403e+11,5.77e+09,41.28
"Ethereum","ETH",1635.01,0.03,0,1.9643e+11,2.25e+09,16.08
"Tether USDt","USDT",1.0001,-0.02,-0.02,8.301e+10,1.054e+10,75.39
"BNB","BNB",214.3,0.03,0.18,3.305e+10,217450000,1.56
"XRP","XRP",0.50353,-0.2,0.87,2.673e+10,388460000,2.78
"USD Coin","USDC",1.0004,-0.02,0.01,2.613e+10,1.36e+09,9.71
"Dogecoin","DOGE",0.063382,0.14,0.11,8.94e+09,115570000,0.83
"Cardano","ADA",0.2533,-0.07,-0.72,8.89e+09,61740000,0.44
"Solana","SOL",19.458,-0.44,0.14,7.99e+09,106170000,0.76
"TRON","TRX",0.079173,0.11,2.6,7.05e+09,97560000,0.7
"Toncoin","TON",1.7697,-0.61,-4.33,6.13e+09,17150000,0.12
"Dai","DAI",0.9999,-0.02,0.01,5.35e+09,52700000,0.38
"Polkadot","pDOTn",4.237,-0.01,-0.28,5.22e+09,57680000,0.41
"Polygon","MATIC",0.54,-0.27,0.19,5.04e+09,136840000,0.98
"Litecoin","LTC",63.11,1.13,-2.03,4.64e+09,147970000,1.06
"Shiba Inu","SHIB",7.56e-06,0.34,-3.22,4.47e+09,54730000,0.39
"Wrapped Bitcoin","WBTC",25906.43,-0.01,0.17,4.22e+09,51230000,0.37
"Bitcoin Cash","BCH",193.1,0.2,-1.2,3.76e+09,94660000,0.68
"Stellar","XLM",0.1313,4.5,16.36,3.61e+09,127610000,0.91
"UNUS SED LEO","LEOu",3.8468,0.05,-1.36,3.55e+09,455120,0
"Avalanche","AVAX",9.85,-0.41,-0.51,3.49e+09,53680000,0.38
"Chainlink","LINK",6.16,-1.2,3.81,3.32e+09,76180000,0.55
"TrueUSD","TUSD",0.9986,-0.01,0.02,3.18e+09,172710000,1.24
"Monero","XMR",143.436,-0.43,2.56,2.61e+09,36200000,0.26
"Binance USD","BUSD",1.0001,-0.03,-0.05,2.59e+09,563990000,4.04
"OKB","OKB",42.26,-0.26,2.09,2.52e+09,941430,0.01
"Uniswap","UNIs",4.324,-0.65,-0.65,2.5e+09,34110000,0.24
"Cosmos","ATOM",6.8516,0.27,0.74,2.49e+09,49680000,0.36
"Ethereum Classic","ETC",15.4002,0.07,-0.22,2.2e+09,39040000,0.28
